"visitor_id","visit_date","utm_source","utm_medium","utm_campaign","lead_id","created_at","amount","closing_reason","status_id"
ca003c89182365dd75262e54772fda03ee923e92,2023-06-01 04:58:00.000,vk,cpc,freemium-frontend,"48838540",2023-06-20 20:49:16.000,35003850,Успешная продажа,142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:36:00.000,vk,cpc,prof-python,"50769366",2023-06-15 11:43:46.000,30574800,Успешная продажа,142
b6ddcd9f994bad353f37b0c5f7115b66d07b10c2,2023-06-01 03:41:00.000,vk,cpc,prof-java,"50769366",2023-06-15 11:43:46.000,26998800,Успешная продажа,142
"59b8c47d60163a74b848b65860970d89015771ef",2023-06-01 05:51:00.000,vk,cpc,freemium-python,"42023860",2023-06-09 19:38:08.000,23601600,Успешная продажа,142
f1dc9c36bd7269ed93e736b29de33e0e7a02e1a3,2023-06-01 02:41:00.000,vk,cpc,prof-java,"20614407",2023-06-26 17:47:47.000,22829992,Успешная продажа,142
"3c8209cca648fa3189f0b15865ecf682c299b511",2023-06-01 05:02:00.000,vk,cpc,prof-python,"70418360",2023-06-28 09:52:22.000,21546000,Успешная продажа,142
d2e5a80edd9af4afd9d374beb90c3db283371377,2023-06-01 04:05:00.000,vk,cpc,freemium-python,"49349641",2023-06-12 19:43:44.000,19980576,Успешная продажа,142
"8dcf11129103786b549139b9eb40c362762f6862",2023-06-01 07:21:00.000,vk,cpc,prof-data-analytics,"25157527",2023-06-14 19:35:21.000,19740000,Успешная продажа,142
"2baf2f6a216f2fa1774c8a057585fad3a736fa41",2023-06-01 00:12:00.000,vk,cpc,prof-data-analytics,"70872672",2023-06-02 18:59:29.000,15756750,Успешная продажа,142
bdfd359dcaca003c60c25bf6293d2cd2bf011705,2023-06-01 01:30:00.000,vk,cpc,freemium-frontend,"22772389",2023-06-26 16:17:58.000,15751640,Успешная продажа,142
